city_number,population,radius_of_circle
1.0,4096873.0,16.154637801159755
2.0,10954682.0,26.41623151379394
3.0,8460933.0,23.21561016874412
4.0,2671873.0,13.046045241331532
5.0,4809372.0,17.50310749010546
6.0,26184362.0,40.84058674313278
7.0,2493748.0,12.603676772390479
8.0,89062.0,2.3818652937986093
9.0,2760936.0,13.261698323255608
10.0,14517180.0,30.409697879280195
11.0,445312.0,5.3260246704038074
12.0,13359368.0,29.171847272592338
13.0,13537493.0,29.36568237844009
14.0,10242182.0,25.54272448989075
15.0,19326553.0,35.08715663344144
16.0,10865619.0,26.308628649403005
17.0,17723429.0,33.60043109866684
18.0,25917175.0,40.63168240412372
19.0,3295310.0,14.488356134654921
20.0,12735931.0,28.48303892230829
21.0,11132807.0,26.630131724164148
22.0,22621864.0,37.96078355098344
23.0,23601551.0,38.7740571950149
24.0,20395303.0,36.04425516161343
25.0,15674992.0,31.599094558590494
26.0,19148428.0,34.92509029857589
27.0,16209367.0,32.13320185867983
28.0,23156255.0,38.40653579507586
29.0,1604410.0,10.109476211858373
30.0,2451460.0,12.496355747657464
31.0,49826.0,1.7815539827869404
32.0,1773820.0,10.629816029306745
33.0,817153.0,7.214772883273194
34.0,757361.0,6.945802709883003
35.0,528160.0,5.800343694438702
36.0,1225730.0,8.836257889288083
37.0,1454931.0,9.627026633234642
38.0,847049.0,7.345565600654062
39.0,587951.0,6.119860761965242
40.0,269062.0,4.139969652780598
41.0,2780314.0,13.308156452738004
42.0,2750418.0,13.236413484560467
43.0,1803716.0,10.719019313967332
44.0,1405105.0,9.460745594477485
45.0,857014.0,7.388647249135341
46.0,338819.0,4.645739486581594
47.0,2411598.0,12.39434075926193
48.0,1574514.0,10.014845133192638
49.0,378680.0,4.911420954481957
50.0,1484827.0,9.725432022964698
51.0,2331876.0,12.187754593312892
52.0,2092709.0,11.54583629871843
53.0,2680661.0,13.067482362070173
54.0,667674.0,6.521585717913475
55.0,2242189.0,11.951078069291258
56.0,2431529.0,12.445452780608534
57.0,1435000.0,9.560859257376089
58.0,1046354.0,8.164137190678357
59.0,149479.0,3.08575233632273
60.0,1255625.0,8.943364916066816
61.0,1036389.0,8.125168422228214
62.0,2710557.0,13.140147697773914
63.0,1096181.0,8.356263181720083
64.0,159444.0,3.1869486440424732
65.0,1155973.0,8.581136686638127
66.0,677639.0,6.570072636945195
67.0,2501286.0,12.622711339708113
68.0,916806.0,7.642046888416178
69.0,906840.0,7.600397539980344
70.0,1963161.0,11.182758175572697
71.0,2371737.0,12.291481702453963
72.0,1425035.0,9.527604922576874
73.0,687604.0,6.618204336024913
74.0,1285521.0,9.049207824900082
75.0,2022952.0,11.351774715240124
76.0,926771.0,7.683466328643235
77.0,558055.0,5.96224030961045
78.0,866979.0,7.431479149590492
79.0,1195834.0,8.72783290683935
80.0,1873473.0,10.924327059569565
81.0,617847.0,6.27352229470334
82.0,807188.0,7.170646663904953
83.0,1823647.0,10.778079008378988
84.0,438472.0,5.284962465781625
85.0,2690626.0,13.091748143836941
86.0,2770349.0,13.284285979754774
87.0,747396.0,6.899956601745775
88.0,79722.0,2.2535129974957053
89.0,1494792.0,9.758012205974648
90.0,318889.0,4.507033061771066
91.0,2481355.0,12.572319973176816
92.0,89687.0,2.3902081517150444
93.0,597917.0,6.171509833489201
94.0,1614376.0,10.140825763079773
95.0,129548.0,2.8726739152688547
96.0,189340.0,3.4728990621758973
97.0,1544619.0,9.919314517944443
98.0,1504757.0,9.790483971213739
99.0,2730487.0,13.188367217991734
100.0,2212293.0,11.87113645705399
101.0,2321947.0,12.16177951869981
