city_number,population,radius_of_circle
1.0,10562751.0,12.416745565497742
2.0,2839449.0,6.437782459176979
3.0,9654127.0,11.87068456367188
4.0,2044403.0,5.462639185145819
5.0,3634495.0,7.2835196928602475
6.0,4543119.0,8.143222798400704
7.0,7609724.0,10.539104570271009
8.0,10449177.0,12.34981078881055
9.0,935466.0,3.6951601413832917
10.0,87310.0,1.1288890358187984
11.0,1097613.0,4.002615584386438
12.0,399132.0,2.413668013352532
13.0,823210.0,3.4663673040113774
14.0,311822.0,2.133401702326419
15.0,149674.0,1.4780612914987679
16.0,274403.0,2.001306880529341
17.0,773318.0,3.359683144048785
18.0,1122559.0,4.0478447654684055
19.0,498915.0,2.698562876486566
20.0,199566.0,1.7067210197746376
21.0,586225.0,2.925172140839466
22.0,1135032.0,4.07027088899601
23.0,561279.0,2.8622572079718056
24.0,1060194.0,3.933796883792808
25.0,760845.0,3.3324785016451552
26.0,74837.0,1.0451471622281252
27.0,1172450.0,4.136818113851114
28.0,735899.0,3.277391834213656
29.0,361713.0,2.2977423017488228
30.0,997839.0,3.816361429701675
